,Brand,Model,Variant,Year_of_Manufacturing,Transmission Type,Fuel Type,Kilometers Driven,No of Owners,Price,Location
1631,Toyota,Innova,,2009,Manual,Diesel,"185,000 km",2nd,"7,25,000",karnataka
1632,Hyundai,i20,,2010,Manual,Petrol,"73,000 km",2nd,"3,65,000",karnataka
1633,Maruti Suzuki,Swift,,2012,Manual,Diesel,"72,000 km",2nd,"4,25,000",karnataka
1634,Mercedes-Benz,New C-Class,,2016,Automatic,Diesel,"100,000 km",1st,"24,75,000",karnataka
1635,Honda,City,,2001,Manual,Petrol,"82,000 km",3rd,"2,10,000",karnataka
1636,Hyundai,i20,,2010,Automatic,Petrol,"92,000 km",1st,"4,25,000",karnataka
1637,Maruti Suzuki,Swift Dzire,,2009,Manual,Petrol,"72,000 km",1st,"3,65,000",karnataka
1638,Maruti Suzuki,Baleno,,2017,Manual,Petrol,"27,000 km",2nd,"6,25,000",karnataka
1639,Maruti Suzuki,Alto,,2003,Manual,Petrol,"200,000 km",1st,"1,35,000",karnataka
1640,Maruti Suzuki,Swift,,2020,Manual,Petrol,"32,000 km",1st,"6,85,000",karnataka
1641,Maruti Suzuki,Ciaz,,2018,Manual,Petrol,"16,329 km",-,"8,75,000",karnataka
1642,-,-,,-,-,-,-,-,-,karnataka
1643,Mahindra,Xylo,,2014,Manual,Diesel,"87,292 km",1st,"5,10,000",karnataka
1644,Mini,Cooper Countryman,,2013,Automatic,Diesel,"46,000 km",2nd,"17,50,000",karnataka
1645,Ford,Endeavour,,2017,Automatic,Diesel,"79,680 km",1st,"24,75,000",karnataka
1646,Maruti Suzuki,Swift,,2007,Manual,Petrol,"61,000 km",1st,"2,90,000",karnataka
1647,Hyundai,EON,,2012,Manual,Petrol,"76,000 km",1st,"3,10,000",karnataka
1648,Hyundai,EON,,2014,Manual,Petrol,"58,888 km",2nd,"3,10,000",karnataka
1649,Maruti Suzuki,Zen,,2005,Manual,Petrol,"83,000 km",4th,"1,65,000",karnataka
1650,Mahindra,XUV500,,2015,Manual,Diesel,"72,000 km",1st,"13,75,000",karnataka
1651,Ford,Figo,,2012,Manual,Petrol,"78,924 km",1st,"3,45,000",karnataka
1652,Maruti Suzuki,Swift,,2009,Manual,Diesel,"160,000 km",3rd,"3,35,000",karnataka
1653,Skoda,Fabia,,2008,Manual,Petrol,"65,000 km",1st,"2,85,000",karnataka
1654,Renault,Duster,,2012,Manual,Diesel,"95,000 km",1st,"6,75,000",karnataka
1655,Volkswagen,Ameo,,2016,Automatic,Diesel,"41,000 km",1st,"6,45,000",karnataka
1656,-,-,,-,-,-,-,-,-,karnataka
1657,Volkswagen,Polo,,2013,Automatic,Petrol,"73,000 km",2nd,"5,45,000",karnataka
1658,Hyundai,i10,,2009,Manual,Petrol,"79,000 km",2nd,"2,89,000",karnataka
1659,Volkswagen,Polo,,2019,Manual,Petrol,"16,900 km",1st,"8,90,000",karnataka
1660,Maruti Suzuki,Ertiga,,2013,Manual,Diesel,"52,000 km",1st,"7,25,000",karnataka
1661,Toyota,Etios,,2011,Manual,Petrol,"54,357 km",1st,"4,30,000",karnataka
1662,Tata,Zest,,2015,Automatic,Diesel,"64,000 km",1st,"5,50,000",karnataka
1663,Maruti Suzuki,Omni,,2016,Manual,Petrol,"96,000 km",1st,"2,85,000",karnataka
1664,Mercedes-Benz,GLA Class,,2016,Automatic,Diesel,"70,000 km",1st,"21,00,000",karnataka
1665,Hyundai,Verna,,2015,Manual,Petrol,"59,000 km",1st,"6,50,000",karnataka
1666,-,-,,-,-,-,-,-,-,karnataka
1667,Hyundai,Santro Xing,,2005,Manual,Petrol,"105,000 km",3rd,"1,58,000",karnataka
1668,Maruti Suzuki,Alto 800,,2019,Manual,Petrol,"16,400 km",1st,"3,80,000",karnataka
1669,Hyundai,Santro,,2011,Manual,Petrol,"79,000 km",2nd,"2,45,000",karnataka
1670,Hyundai,Creta,,2015,Manual,Diesel,"62,000 km",2nd,"8,50,000",karnataka
1671,Mahindra,Marazzo,,2019,Manual,Diesel,"68,000 km",1st,"7,20,000",karnataka
1672,Ford,Endeavour,,2017,Automatic,Diesel,"31,000 km",1st,"30,00,000",karnataka
1673,Toyota,Innova,,2014,Manual,Diesel,"131,000 km",1st,"12,90,000",karnataka
1674,Ford,Fiesta,,2008,Manual,Diesel,"88,000 km",3rd,"2,20,000",karnataka
1675,Tata,Nexon,,2018,Manual,Diesel,"35,000 km",1st,"10,45,000",karnataka
1676,Toyota,Corolla Altis,,2008,Manual,Petrol,"102,000 km",1st,"4,65,000",karnataka
1677,Maruti Suzuki,Swift,,2010,Manual,Petrol,"69,000 km",2nd,"3,10,000",karnataka
1678,Mahindra,Ssangyong Rexton,,2018,Automatic,Diesel,"45,237 km",1st,"16,95,000",karnataka
1679,Toyota,Fortuner,,2017,Manual,Diesel,"63,000 km",1st,"32,50,000",karnataka
1680,Volkswagen,Vento,,2014,Manual,Petrol,"94,692 km",-,"4,65,000",karnataka
1681,Hyundai,EON,,2015,Manual,Petrol,"12,365 km",1st,"2,90,000",karnataka
1682,Maruti Suzuki,S Cross,,2017,Manual,Diesel,"56,000 km",1st,"9,25,000",karnataka
1683,Mahindra,XUV500,,2013,-,-,"40,000 km",1st,"10,00,000",karnataka
1684,Volkswagen,Polo,,2015,Manual,Petrol,"65,000 km",2nd,"4,85,000",karnataka
1685,Mahindra,Bolero,,2011,Manual,Diesel,"125,000 km",2nd,"4,35,000",karnataka
1686,Hyundai,Accent,,2010,Manual,Petrol,"72,000 km",1st,"2,50,000",karnataka
1687,Hyundai,Grand i10,,2013,Manual,Diesel,"67,800 km",2nd,"3,99,999",karnataka
1688,Mercedes-Benz,GLA,,2018,Automatic,Diesel,"20,000 km",1st,"32,00,000",karnataka
1689,Hyundai,Creta,,2017,Manual,Diesel,"75,274 km",1st,"12,85,000",karnataka
1690,Maruti Suzuki,Swift,,2017,Manual,Petrol,"44,000 km",1st,"6,00,000",karnataka
1691,Chevrolet,Spark,,2012,Manual,Petrol,"55,000 km",1st,"2,25,000",karnataka
1692,Mahindra,XUV500,,2015,Manual,Diesel,"129,495 km",2nd,"8,25,000",karnataka
1693,Maruti Suzuki,Zen,,2005,Manual,Petrol,"108,000 km",3rd,"1,65,000",karnataka
1694,Mahindra,XUV500,,2013,Manual,Diesel,"104,000 km",2nd,"8,24,000",karnataka
1695,Chevrolet,Captiva,,2011,Manual,Diesel,"83,000 km",3rd,"4,25,000",karnataka
1696,Hyundai,i10,,2010,Manual,Petrol,"76,000 km",2nd,"2,75,000",karnataka
1697,Maruti Suzuki,Wagon R,,2006,Manual,Petrol,"64,000 km",2nd,"1,95,000",karnataka
1698,Tata,Nano,,2015,Automatic,Petrol,"35,000 km",1st,"2,65,000",karnataka
1699,Toyota,Etios,,2012,Manual,Petrol,"74,000 km",2nd,"3,95,000",karnataka
1700,Hyundai,Elite i20,,2018,Automatic,Petrol,"23,491 km",1st,"7,98,250",karnataka
1701,Maruti Suzuki,Swift,,2018,Automatic,Petrol,"21,759 km",1st,"7,10,000",karnataka
1702,Maruti Suzuki,Alto,,2006,Manual,Petrol,"170,000 km",2nd,"1,40,000",karnataka
1703,Hyundai,i20,,2010,Manual,Petrol,"81,000 km",1st,"3,99,000",karnataka
1704,Hyundai,i10,,2007,Manual,Petrol,"67,000 km",2nd,"2,30,000",karnataka
1705,Toyota,Innova,,2016,Manual,Diesel,"195,000 km",2nd,"7,45,000",karnataka
1706,Toyota,Innova,,2006,Manual,Diesel,"175,000 km",3rd,"3,85,000",karnataka
1707,Maruti Suzuki,Baleno,,2018,Automatic,Petrol,"25,000 km",1st,"8,20,000",karnataka
1708,Hyundai,Grand i10,,2015,Automatic,Petrol,"35,000 km",1st,"5,95,000",karnataka
1709,Chevrolet,Beat,,2010,Manual,Petrol,"80,000 km",1st,"2,45,000",karnataka
1710,Tata,Indica Vista,,2011,Manual,Petrol,"53,000 km",2nd,"2,25,000",karnataka
1711,Fiat,Linea,,2012,Manual,Petrol,"72,000 km",2nd,"3,40,000",karnataka
1712,Volkswagen,Polo,,2015,Manual,Petrol,"81,000 km",1st,"5,35,000",karnataka
1713,Hyundai,Santro Xing,,2009,Manual,Petrol,"75,000 km",1st,"2,45,000",karnataka
1714,Tata,Nexon,,2018,Automatic,Diesel,"30,274 km",1st,"10,50,000",karnataka
1715,Mahindra,Bolero,,2010,Manual,Diesel,"120,000 km",3rd,"3,75,000",karnataka
1716,Toyota,Innova,,2006,Manual,Diesel,"174,902 km",1st,"5,50,000",karnataka
1717,Maruti Suzuki,Ritz,,2015,Manual,Diesel,"86,000 km",2nd,"4,75,000",karnataka
1718,Toyota,Etios,,2019,Manual,Diesel,"53,000 km",1st,"6,30,000",karnataka
1719,Maruti Suzuki,Swift,,2009,Manual,Diesel,"78,000 km",1st,"3,10,000",karnataka
1720,Maruti Suzuki,Alto K10,,2012,Manual,Petrol,"53,964 km",-,"2,55,000",karnataka
1721,Maruti Suzuki,Swift Dzire,,2018,Manual,Petrol,"25,000 km",1st,"6,85,000",karnataka
1722,BMW,X1,,2012,Automatic,Diesel,"100,000 km",3rd,"12,50,000",karnataka
1723,Hyundai,Elite i20,,2018,Manual,Petrol,"5,513 km",1st,"7,20,000",karnataka
1724,Toyota,Innova,,2007,-,-,"150,000 km",1st,"6,70,000",karnataka
1725,Tata,Indica,,2007,Manual,Petrol,"21,300 km",1st,"1,95,000",karnataka
1726,Honda,Civic,,2007,Manual,Petrol,"109,000 km",2nd,"3,25,000",karnataka
1727,Ford,Figo,,2014,Manual,Diesel,"92,000 km",2nd,"3,50,000",karnataka
1728,Mahindra,Bolero Pik-Up,,2015,Manual,Diesel,"120,000 km",1st,"4,00,000",karnataka
1729,Maruti Suzuki,Wagon R,,2008,Manual,Petrol,"74,000 km",2nd,"2,25,000",karnataka
1730,BMW,5 Series,,2011,Automatic,Diesel,"40,239 km",2nd,"16,50,000",karnataka
1731,Hyundai,i10,,2008,Manual,Petrol,"77,000 km",1st,"2,65,000",karnataka
1732,Hyundai,EON,,2014,Manual,Petrol,"33,000 km",1st,"3,20,000",karnataka
1733,Chevrolet,Beat,,2011,Manual,Petrol,"88,000 km",1st,"2,45,000",karnataka
