,Brand,Model,Variant,Year_of_Manufacturing,Transmission Type,Fuel Type,Kilometers Driven,No of Owners,Price,Location
900,Mahindra,Xylo,,2010,Manual,Diesel,"140,000 km",2nd,"4,50,000",Chennai
901,Hyundai,Xcent,,2018,Manual,Diesel,"76,000 km",1st,"4,00,000",Chennai
902,Mahindra,Scorpio,,2008,Manual,Diesel,"115,000 km",2nd,"4,65,000",Chennai
903,Hyundai,Grand i10,,2014,-,Diesel,"85,500 km",1st,"4,85,000",Chennai
904,Maruti Suzuki,Swift Dzire,,2013,Manual,Diesel,"110,000 km",1st,"5,25,000",Chennai
905,Tata,Indica Vista,,2010,Manual,Diesel,"90,000 km",1st,"2,40,000",Chennai
906,Maruti Suzuki,Alto,,2007,Manual,Petrol,"42,721 km",1st,"1,75,000",Chennai
907,Volkswagen,Vento,,2015,Manual,Diesel,"45,000 km",1st,"6,50,000",Chennai
908,Toyota,Fortuner,,2010,Manual,Diesel,"178,000 km",2nd,"10,75,000",Chennai
909,Volkswagen,Polo,,2016,Manual,Petrol,"18,000 km",1st,"5,75,000",Chennai
910,Maruti Suzuki,Alto 800,,2018,Manual,Petrol,"31,000 km",1st,"3,75,000",Chennai
911,Maruti Suzuki,Swift,,2014,Manual,Diesel,"98,800 km",1st,"5,80,000",Chennai
912,Maruti Suzuki,Alto,,2006,Manual,Petrol,"110,000 km",3rd,"1,45,000",Chennai
913,Mahindra,XUV500,,2015,Manual,Diesel,"96,000 km",2nd,"11,50,000",Chennai
914,Hyundai,Santro Xing,,2006,Manual,Petrol,"61,000 km",2nd,"1,25,000",Chennai
915,Mercedes-Benz,CLS-Class,,2013,Automatic,Diesel,"58,000 km",2nd,"14,90,000",Chennai
916,Maruti Suzuki,Ritz,,2009,-,Diesel,"78,000 km",2nd,"2,85,000",Chennai
917,Maruti Suzuki,Celerio,,2015,Automatic,Petrol,"75,000 km",1st,"4,15,000",Chennai
918,Tata,Others,,2016,Manual,Diesel,"58,000 km",2nd,"4,00,000",Chennai
919,Maruti Suzuki,Omni,,2010,Automatic,LPG,"221,112 km",2nd,"70,000",Chennai
920,Maruti Suzuki,Swift Dzire,,2018,Manual,Petrol,"17,400 km",1st,"6,90,000",Chennai
921,Toyota,Innova,,2013,Manual,Diesel,"200,000 km",1st,"6,80,000",Chennai
922,Hyundai,i10,,2008,Manual,Petrol,"77,000 km",2nd,"2,60,000",Chennai
923,Maruti Suzuki,Swift Dzire,,2015,Manual,Diesel,"105,000 km",1st,"5,49,000",Chennai
924,Maruti Suzuki,SX4,,2007,Manual,Petrol,"98,000 km",2nd,"2,10,000",Chennai
925,Mahindra,Xylo,,2012,Manual,Diesel,"150,000 km",3rd,"5,40,000",Chennai
926,Hyundai,Santro Xing,,2010,Manual,Petrol,"70,000 km",1st,"1,80,000",Chennai
927,Maruti Suzuki,Eeco,,2011,Manual,Petrol,"82,000 km",1st,"2,30,000",Chennai
928,Maruti Suzuki,Alto K10,,2017,Manual,Petrol,"19,000 km",1st,"3,60,000",Chennai
929,Maruti Suzuki,Swift Dzire Tour,,2018,Manual,Diesel,"67,000 km",1st,"5,75,000",Chennai
930,Renault,Fluence,,2013,Automatic,Petrol,"45,000 km",2nd,"5,10,000",Chennai
931,Mahindra,Scorpio,,2008,-,Diesel,"108,600 km",1st,"5,10,000",Chennai
932,Maruti Suzuki,Swift Dzire,,2013,Manual,Diesel,"87,000 km",2nd,"3,90,000",Chennai
933,Skoda,Superb,,2011,Automatic,Diesel,"14,000 km",1st,"12,00,000",Chennai
934,Maruti Suzuki,SX4,,2008,Manual,Petrol,"91,000 km",1st,"2,75,000",Chennai
935,Hyundai,Creta,,2017,Manual,Petrol,"28,000 km",1st,"8,55,000",Chennai
936,Maruti Suzuki,800,,2006,Manual,Petrol,"54,000 km",1st,"95,000",Chennai
937,Hyundai,Creta,,2017,Automatic,Diesel,"56,795 km",1st,"12,50,000",Chennai
938,Ford,Ecosport,,2017,Manual,Petrol,"18,000 km",1st,"5,50,000",Chennai
939,Volkswagen,Polo,,2013,Manual,Diesel,"78,000 km",1st,"3,99,000",Chennai
940,Hyundai,Santro Xing,,2011,Manual,Petrol,"68,100 km",1st,"2,65,000",Chennai
941,Mahindra,XUV500,,2015,Manual,Diesel,"150,000 km",1st,"9,20,000",Chennai
942,Audi,A4,,2012,Manual,Diesel,"160,000 km",1st,"11,80,000",Chennai
943,Maruti Suzuki,Swift Dzire Tour,,2018,Manual,Diesel,"60,000 km",1st,"5,60,000",Chennai
944,Ford,Figo,,2016,Manual,Diesel,"66,452 km",1st,"4,99,000",Chennai
945,Tata,Zest,,2016,Manual,Diesel,"51,000 km",1st,"4,65,000",Chennai
946,Maruti Suzuki,Omni,,2014,Manual,Diesel,"80,000 km",1st,"2,90,000",Chennai
947,Mahindra,Bolero,,2010,Manual,Diesel,"125,000 km",2nd,"3,95,000",Chennai
948,Maruti Suzuki,Swift Dzire,,2019,Manual,Diesel,"52,000 km",1st,"6,40,000",Chennai
