,Brand,Model,Variant,Year_of_Manufacturing,Transmission Type,Fuel Type,Kilometers Driven,No of Owners,Price,Location
1783,Maruti Suzuki,Stingray,,2015,Manual,Petrol,"74,500 km",2nd,"3,30,000",kerala
1784,Toyota,Corolla,,2009,Manual,Petrol,"74,000 km",2nd,"3,11,000",kerala
1785,Honda,Jazz,,2018,Manual,Petrol,"20,000 km",1st,"7,00,000",kerala
1786,Maruti Suzuki,800,,2001,Manual,Petrol,"97,500 km",2nd,"47,000",kerala
1787,Mitsubishi,Lancer,,2005,Manual,Diesel,1 km,1st,"1,25,000",kerala
1788,Maruti Suzuki,800,,2001,Manual,Petrol,"67,000 km",2nd,"46,000",kerala
1789,Other Brands,Others,,2021,Manual,CNG & Hybrids,0 km,2nd,"6,00,000",kerala
1790,Volkswagen,Polo,,2018,Manual,Petrol,"18,678 km",2nd,"6,50,000",kerala
1791,Mahindra,Scorpio,,2008,Manual,Diesel,"185,000 km",1st,"3,50,000",kerala
1792,Ford,Figo,,2020,Manual,Diesel,"12,000 km",1st,"7,25,000",kerala
1793,Maruti Suzuki,Zen,,1998,Manual,Petrol,"54,000 km",3rd,"52,000",kerala
1794,Mahindra,Jeep,,2004,Manual,Diesel,"110,000 km",2nd,"2,99,999",kerala
1795,Maruti Suzuki,Alto 800,,2017,Manual,Petrol,"9,500 km",2nd,"2,35,000",kerala
1796,Renault,KWID,,2016,Manual,Petrol,"56,324 km",2nd,"2,75,000",kerala
1797,Hyundai,i10,,2011,Manual,Petrol,82 km,2nd,"2,80,000",kerala
1798,Maruti Suzuki,Wagon R,,2003,Manual,Petrol,"10,000 km",2nd,"1,05,000",kerala
1799,Maruti Suzuki,Alto,,2006,Manual,Petrol,"73,000 km",1st,"85,000",kerala
1800,Maruti Suzuki,Ertiga,,2013,Manual,Diesel,"116,320 km",2nd,"4,75,000",kerala
1801,Maruti Suzuki,Vitara Brezza,,2017,Manual,Diesel,"16,500 km",1st,"8,25,000",kerala
1802,Maruti Suzuki,Alto 800,,2018,Manual,Petrol,"38,650 km",1st,"3,15,000",kerala
1803,Hyundai,Santro Xing,,2010,Manual,Petrol,"76,656 km",3rd,"1,99,000",kerala
1804,Maruti Suzuki,Wagon R,,2004,Manual,Petrol,"74,600 km",3rd,"1,00,000",kerala
1805,Mahindra,Scorpio,,2007,Manual,Diesel,"144,000 km",2nd,"2,40,000",kerala
1806,Chevrolet,Aveo,,2006,Automatic,Petrol,"88,000 km",1st,"1,10,000",kerala
1807,Volkswagen,Ameo,,2017,Automatic,Diesel,"45,000 km",1st,"7,50,000",kerala
1808,Maruti Suzuki,Wagon R,,2009,Manual,Petrol,0 km,-,"1,50,000",kerala
1809,Maruti Suzuki,Ignis,,2019,Automatic,Petrol,"17,000 km",1st,"6,00,000",kerala
1810,Ford,Ecosport,,2014,Manual,Diesel,"90,000 km",1st,"5,10,000",kerala
1811,Audi,A6,,2016,Automatic,Diesel,"55,555 km",-,"25,000",kerala
1812,Toyota,Fortuner,,2011,Manual,Diesel,"250,000 km",2nd,"11,50,000",kerala
1813,Toyota,Fortuner,,2012,Automatic,Diesel,"65,000 km",2nd,"16,50,000",kerala
1814,Maruti Suzuki,Zen,,1997,Manual,Petrol,"92,545 km",3rd,"43,000",kerala
1815,Maruti Suzuki,Swift,,2015,Manual,Petrol,"92,000 km",1st,"4,90,000",kerala
1816,Maruti Suzuki,Zen,,2002,Automatic,Petrol,"59,639 km",2nd,"68,500",kerala
1817,Maruti Suzuki,Alto 800,,2014,Manual,Petrol,"79,000 km",2nd,"2,20,000",kerala
1818,Maruti Suzuki,800,,2003,Manual,Petrol,0 km,2nd,"80,000",kerala
