,Brand,Model,Variant,Year_of_Manufacturing,Transmission Type,Fuel Type,Kilometers Driven,No of Owners,Price,Location
170,Maruti Suzuki,Baleno,,2016,Manual,Petrol,"42,000 km",1st,"5,25,000",Delhi
171,Maruti Suzuki,Ertiga,,2013,Manual,Diesel,"74,000 km",1st,"4,50,000",Delhi
172,Maruti Suzuki,Swift,,2013,Manual,Diesel,"66,000 km",1st,"3,40,000",Delhi
173,Hyundai,Creta,,2016,-,Diesel,"65,000 km",1st,"8,50,000",Delhi
174,Land Rover,Range Rover Evoque,,2016,Automatic,Diesel,"65,000 km",2nd,"32,00,000",Delhi
175,Volvo,XC 90,,2017,Automatic,Diesel,"70,000 km",1st,"41,85,000",Delhi
176,Honda,City,,2010,Manual,Petrol,"81,300 km",1st,"2,85,000",Delhi
177,BMW,5 Series,,2012,Automatic,Diesel,"75,000 km",2nd,"10,49,999",Delhi
178,Maruti Suzuki,Swift,,2012,Manual,Petrol,"60,000 km",1st,"3,44,444",Delhi
179,Mahindra,Quanto,,2012,Manual,Diesel,"39,000 km",1st,"3,50,000",Delhi
180,-,-,,-,-,-,-,-,-,Delhi
181,Ford,Ecosport,,2018,Manual,Petrol,"8,122 km",1st,"7,37,800",Delhi
182,-,-,,-,-,-,-,-,-,Delhi
183,Maruti Suzuki,Swift,,2016,Manual,Diesel,"65,000 km",1st,"4,80,000",Delhi
184,Audi,Q3,,2014,Automatic,Diesel,"19,000 km",1st,"17,90,000",Delhi
185,Hyundai,Fluidic Verna,,2015,Automatic,Petrol,"60,000 km",1st,"6,85,000",Delhi
186,Hyundai,Creta,,2017,Automatic,Petrol,"57,000 km",1st,"11,00,000",Delhi
187,Hyundai,i10,,2010,Manual,Petrol,"65,000 km",1st,"1,50,000",Delhi
188,Hyundai,EON,,2014,Manual,Petrol,"42,000 km",1st,"2,40,000",Delhi
189,Hyundai,Creta,,2016,Manual,Diesel,"38,000 km",1st,"9,25,000",Delhi
190,Mercedes-Benz,E-Class,,2011,Automatic,Diesel,"100,000 km",2nd,"9,24,000",Delhi
191,Honda,Amaze,,2019,Manual,CNG & Hybrids,"16,000 km",1st,"7,00,000",Delhi
192,Maruti Suzuki,Swift Dzire,,2014,Manual,Diesel,"62,000 km",2nd,"3,95,000",Delhi
193,Toyota,Innova,,2015,Manual,Diesel,"60,000 km",1st,"7,50,000",Delhi
194,Hyundai,Grand i10,,2016,Manual,Petrol,"30,000 km",1st,"4,22,222",Delhi
195,Maruti Suzuki,Ertiga,,2016,Manual,Diesel,"75,468 km",1st,"6,50,000",Delhi
196,Ford,Ecosport,,2014,Manual,Diesel,"99,000 km",1st,"4,95,000",Delhi
197,Hyundai,i10,,2013,Manual,Petrol,"56,000 km",1st,"2,70,000",Delhi
198,Tata,Nexon,,2019,Automatic,Diesel,"27,000 km",1st,"9,50,000",Delhi
199,Skoda,Yeti,,2012,Manual,Diesel,"85,869 km",1st,"3,74,000",Delhi
200,Land Rover,Range Rover Evoque,,2018,Automatic,Diesel,"28,000 km",1st,"44,00,000",Delhi
201,Maruti Suzuki,Ciaz,,2015,Manual,Diesel,"60,000 km",1st,"5,80,000",Delhi
202,Hyundai,Elite i20,,2016,Manual,Petrol,"58,000 km",1st,"4,99,000",Delhi
203,Ford,Ecosport,,2013,Manual,Diesel,"70,000 km",1st,"3,90,000",Delhi
204,Ford,Fiesta,,2010,Manual,Petrol,"39,000 km",1st,"2,20,000",Delhi
205,Maruti Suzuki,Swift,,2012,Manual,Diesel,"72,000 km",1st,"3,10,000",Delhi
206,Mercedes-Benz,New C-Class,,2015,Automatic,Diesel,"55,000 km",1st,"24,49,000",Delhi
207,Mercedes-Benz,New C-Class,,2017,Automatic,Diesel,"26,000 km",1st,"29,45,000",Delhi
208,Maruti Suzuki,Swift Dzire Tour,,2013,Manual,Diesel,"64,497 km",1st,"2,45,000",Delhi
209,Honda,Amaze,,2016,Manual,Petrol,"39,000 km",1st,"4,60,000",Delhi
210,Maruti Suzuki,Eeco,,2019,-,CNG & Hybrids,"22,000 km",1st,"4,40,000",Delhi
211,Maruti Suzuki,Wagon R,,2013,Manual,CNG & Hybrids,"62,941 km",1st,"2,49,000",Delhi
212,Maruti Suzuki,Wagon R 1.0,,2015,Automatic,Petrol,"28,200 km",1st,"3,25,000",Delhi
213,Maruti Suzuki,Wagon R,,2011,Manual,Petrol,"55,000 km",1st,"1,85,000",Delhi
214,Maruti Suzuki,Swift Dzire,,2012,Manual,Diesel,"87,200 km",2nd,"3,85,000",Delhi
215,Mahindra,XUV500,,2018,Automatic,Diesel,"38,000 km",1st,"12,65,000",Delhi
216,Audi,A4,,2013,Automatic,Diesel,"68,000 km",2nd,"10,95,000",Delhi
